Order_ID,Date,Product,Category,Quantity,Unit_Price,Customer_ID,Region,Sales_Channel,Payment_Method,Discount,Cost,Revenue,Profit
ORD-10000,2026-01-16,Monitor,Electronics,4,300,CUST-1106,Asia,Online,Credit Card,0.19,720,972.0000000000001,252.0000000000001
ORD-10001,2026-04-04,Keyboard,Accessories,5,80,CUST-1121,North America,Online,Bank Transfer,0.12,175,352.0,177.0
ORD-10002,2026-04-05,Headphones,Accessories,3,120,CUST-1458,South America,Online,Cash,0.02,180,352.8,172.8
ORD-10003,2026-02-13,Mouse,Accessories,5,50,CUST-1663,South America,Store,Credit Card,0.12,100,220.0,120.0
ORD-10004,2026-05-10,Keyboard,Accessories,3,80,CUST-1769,North America,Online,Credit Card,0.0,105,240.0,135.0
ORD-10005,2025-11-30,Smartwatch,Wearables,4,250,CUST-1385,Asia,Online,Credit Card,0.19,560,810.0,250.0
ORD-10006,2025-06-12,Tablet,Electronics,4,450,CUST-1459,Asia,Online,Bank Transfer,0.04,1200,1728.0,528.0
ORD-10007,2025-09-08,Laptop,Electronics,2,900,CUST-1747,Asia,Store,Bank Transfer,0.1,1300,1620.0,320.0
ORD-10008,2026-03-21,Tablet,Electronics,1,450,CUST-1058,South America,Store,Bank Transfer,0.06,300,423.0,123.0
ORD-10009,2026-01-23,Mouse,Accessories,2,50,CUST-1699,Asia,Store,Credit Card,0.01,40,99.0,59.0
ORD-10010,2025-10-24,Keyboard,Accessories,3,80,CUST-1243,Asia,Online,Bank Transfer,0.08,105,220.8,115.80000000000001
ORD-10011,2025-10-27,Laptop,Electronics,1,900,CUST-1818,Europe,Store,Credit Card,0.01,650,891.0,241.0
ORD-10012,2026-05-27,Smartwatch,Wearables,5,250,CUST-1273,Europe,Store,Credit Card,0.09,700,1137.5,437.5
ORD-10013,2026-02-15,Laptop,Electronics,4,900,CUST-1013,North America,Store,Bank Transfer,0.19,2600,2916.0,316.0
ORD-10014,2025-06-30,Keyboard,Accessories,2,80,CUST-1345,South America,Store,Bank Transfer,0.08,70,147.20000000000002,77.20000000000002
ORD-10015,2026-05-22,Monitor,Electronics,5,300,CUST-1091,South America,Store,Cash,0.05,900,1425.0,525.0
ORD-10016,2026-03-10,Headphones,Accessories,4,120,CUST-1508,South America,Store,Credit Card,0.02,240,470.4,230.39999999999998
ORD-10017,2026-04-10,Smartwatch,Wearables,3,250,CUST-1931,South America,Store,Bank Transfer,0.18,420,615.0,195.0
ORD-10018,2026-06-02,Phone,Electronics,2,700,CUST-1001,Asia,Online,Cash,0.13,1000,1218.0,218.0
ORD-10019,2025-08-02,Tablet,Electronics,2,450,CUST-1476,Asia,Store,Credit Card,0.11,600,801.0,201.0
ORD-10020,2025-09-05,Keyboard,Accessories,2,80,CUST-1161,Europe,Online,Cash,0.16,70,134.4,64.4
ORD-10021,2025-08-28,Headphones,Accessories,2,120,CUST-1269,Europe,Store,Cash,0.18,120,196.8,76.80000000000001
ORD-10022,2025-07-01,Monitor,Electronics,4,300,CUST-1295,Asia,Store,Bank Transfer,0.01,720,1188.0,468.0
ORD-10023,2026-03-11,Monitor,Electronics,5,300,CUST-1337,North America,Online,Credit Card,0.08,900,1380.0,480.0
ORD-10024,2026-03-10,Keyboard,Accessories,5,80,CUST-1216,Asia,Store,Credit Card,0.12,175,352.0,177.0
ORD-10025,2025-08-30,Smartwatch,Wearables,4,250,CUST-1492,North America,Online,Credit Card,0.12,560,880.0,320.0
ORD-10026,2025-09-27,Tablet,Electronics,1,450,CUST-1812,Asia,Online,Cash,0.06,300,423.0,123.0
ORD-10027,2026-02-04,Smartwatch,Wearables,1,250,CUST-1520,South America,Online,Credit Card,0.0,140,250.0,110.0
ORD-10028,2025-11-26,Headphones,Accessories,1,120,CUST-1471,Asia,Store,Cash,0.04,60,115.19999999999999,55.19999999999999
ORD-10029,2026-03-06,Mouse,Accessories,3,50,CUST-1391,North America,Online,Credit Card,0.04,60,144.0,84.0
ORD-10030,2025-10-28,Tablet,Electronics,3,450,CUST-1378,North America,Online,Bank Transfer,0.16,900,1134.0,234.0
ORD-10031,2025-12-09,Keyboard,Accessories,5,80,CUST-1040,Asia,Online,Cash,0.19,175,324.0,149.0
ORD-10032,2026-04-14,Mouse,Accessories,4,50,CUST-1839,North America,Store,Cash,0.17,80,166.0,86.0
ORD-10033,2025-07-15,Phone,Electronics,4,700,CUST-1047,Asia,Store,Bank Transfer,0.07,2000,2604.0,604.0
ORD-10034,2026-01-12,Tablet,Electronics,5,450,CUST-1871,North America,Online,Bank Transfer,0.15,1500,1912.5,412.5
ORD-10035,2025-11-08,Keyboard,Accessories,3,80,CUST-1738,Asia,Online,Credit Card,0.11,105,213.6,108.6
ORD-10036,2025-10-30,Tablet,Electronics,5,450,CUST-1642,Asia,Store,Cash,0.19,1500,1822.5000000000002,322.5000000000002
ORD-10037,2025-06-22,Monitor,Electronics,1,300,CUST-1502,Europe,Store,Cash,0.14,180,258.0,78.0
ORD-10038,2025-11-27,Smartwatch,Wearables,3,250,CUST-1014,South America,Online,Cash,0.1,420,675.0,255.0
ORD-10039,2025-09-12,Laptop,Electronics,2,900,CUST-1460,North America,Online,Credit Card,0.01,1300,1782.0,482.0
ORD-10040,2025-10-26,Monitor,Electronics,3,300,CUST-1742,Europe,Online,Cash,0.01,540,891.0,351.0
ORD-10041,2026-01-01,Keyboard,Accessories,1,80,CUST-1095,Asia,Online,Cash,0.06,35,75.19999999999999,40.19999999999999
ORD-10042,2025-10-19,Tablet,Electronics,4,450,CUST-1406,South America,Store,Credit Card,0.18,1200,1476.0,276.0
ORD-10043,2025-10-24,Phone,Electronics,5,700,CUST-1540,South America,Store,Bank Transfer,0.11,2500,3115.0,615.0
ORD-10044,2026-02-07,Phone,Electronics,4,700,CUST-1838,Europe,Store,Cash,0.19,2000,2268.0,268.0
ORD-10045,2026-02-21,Monitor,Electronics,3,300,CUST-1795,Asia,Store,Bank Transfer,0.14,540,774.0,234.0
ORD-10046,2025-12-11,Smartwatch,Wearables,2,250,CUST-1573,Europe,Online,Credit Card,0.12,280,440.0,160.0
ORD-10047,2025-07-26,Laptop,Electronics,1,900,CUST-1795,North America,Online,Cash,0.02,650,882.0,232.0
